English word,French word,Frequency
prepare,préparer,48
hands,mains,319
desperate,désespéré,50
spoke,parlait,137
padua,Padoue,0
without,sans pour autant,287
youth,jeunesse,275
quoth,quoth,62
these,celles-ci,1101
drunk,ivre,68
music,la musique,162
would,aurait,2027
scorn,mépris,104
warrant,mandat,175
because,car,81
silence,silence,62
somerset,somerset,0
prison,prison,89
fairy,Fée,41
sister,sœur,194
grief,douleur,212
viola,alto,0
excellent,excellent,100
merchant,marchande,31
phebe,phebe,0
devise,concevoir,46
version,version,1
guess,devine,50
drums,tambours,36
endure,supporter,73
object,objet,39
shortly,prochainement,0
ferdinand,Ferdinand,0
humble,humble,72
flight,vol,52
folly,folie,79
forest,forêt,61
vengeance,vengeance,178
throat,gorge,51
infinite,infini,38
least,moins,101
misery,misère,37
milan,Milan,0
minds,esprits,55
sleep,sommeil,242
commission,commission,48
after,après,339
quiet,silencieux,73
close,proche,96
policy,politique,45
saint,Saint,25
learn,apprendre,113
salerio,salerio,0
weeping,larmes,56
blood,du sang,660
straight,tout droit,145
throw,jeter,90
speaks,parle,0
thank,remercier,280
faces,visages,53
sweet,sucré,664
yours,le tiens,248
undone,défait,52
violent,violent,41
forsooth,en vérité,42
sworn,juré,132
empty,vide,49
deadly,mortel,50
spring,printemps,57
ambition,ambition,45
leave,laisser,610
blush,rougir,52
besides,outre,49
knave,fripon,174
weeds,mauvaises herbes,42
morrow,demain,326
laugh,rire,110
others,autres,0
faint,perdre connaissance,44
swift,rapide,67
murder,meurtre,57
making,fabrication,56
gower,gower,0
minister,ministre,38
cruel,cruel,71
often,souvent,121
remedy,remède,59
cardinal,cardinal,9
consent,consentement,88
suffolk,suffolk,0
respect,le respect,100
strange,étrange,241
aside,de côté,130
success,Succès,44
authority,autorité,51
loose,ample,50
therefore,par conséquent,0
creature,créature,72
child,enfant,227
trust,confiance,156
private,privé,66
companion,un compagnon,36
young,Jeune,406
provided,à condition de,27
tribunes,tribunes,27
fatal,fatal,42
wisdom,sagesse,92
gates,portes,101
happiness,bonheur,55
sorry,Pardon,88
treasure,Trésor,53
mistake,erreur,34
embrace,embrasse,61
cheek,joue,79
victory,la victoire,46
cheer,acclamation,78
praise,louange,177
better,mieux,566
special,spécial,38
contempt,mépris,43
truth,vérité,334
service,un service,221
there,Là,1501
sweat,transpiration,37
betray,trahir,56
swear,jurer,241
college,Université,3
copyright,droits d'auteur,7
approach,approche,64
turns,se tourne,47
number,nombre,54
obedience,obéissance,48
clarence,clarté,0
fierce,féroce,37
struck,frappé,73
brave,courageux,146
judge,juge,84
darkness,obscurité,37
posthumus,posthume,0
write,écrire,105
order,ordre,90
proceed,procéder,47
shape,forme,87
nothing,rien,541
understand,comprendre,0
birth,naissance,87
distributed,distribué,2
forth,en avant,369
wives,épouses,58
mariana,Mariana,0
heaven,paradis,577
loving,aimant,117
unhappy,malheureux,0
prohibited,interdit,0
mighty,puissant,0
silver,argent,65
despair,désespoir,46
weapons,armes,40
blessing,bénédiction,0
hundred,cent,114
other,autre,687
woman,femme,416
queen,reine,189
uncle,oncle,191
matter,matière,354
courage,courage,57
instant,instant,61
walls,des murs,84
native,originaire de,43
yield,rendement,128
noise,bruit,107
speak,parler,1005
sacred,sacré,46
tender,soumissionner,147
question,question,148
bought,acheté,51
loves,aime,194
spirit,esprit,254
picture,image,43
sharp,tranchant,67
names,des noms,49
messenger,Messager,58
regard,qui concerne,41
pompey,pompey,0
wench,jeune fille,62
witch,sorcière,43
mirth,gaieté,51
lucentio,Lucentio,0
royal,Royal,205
flies,mouches,56
tonight,ce soir,0
shake,secouer,91
almost,presque,139
displeasure,mécontentement,41
steward,intendant,22
chide,gronder,45
reign,règne,46
manner,manière,81
parolles,parolles,0
naked,nu,50
trial,procès,60
plead,plaider,41
brains,cerveaux,0
undertake,entreprendre,0
venice,venise,0
copies,copies,4
judgment,jugement,102
charity,charité,54
whether,qu'il s'agisse,56
raise,élever,43
quite,assez,72
tower,la tour,11
always,toujours,59
already,déjà,139
below,au dessous de,52
estate,biens,49
crave,demander,41
kings,rois,106
pardon,pardon,243
shall,doit,3128
touch,toucher,156
senator,sénateur,4
condition,état,56
ladyship,Madame,43
prayers,prières,85
shame,la honte,294
fruit,fruit,37
cause,cause,336
dreams,rêves,0
trick,tour,53
favour,favoriser,137
times,fois,208
wound,blessure,70
pedro,pedro,0
saying,en disant,50
render,rendre,44
cinna,cinna,0
abroad,à l'étranger,63
wounded,blessés,0
egypt,Egypte,0
whence,d'où,0
blunt,cru,27
chief,chef,30
dolabella,Dolabella,0
despite,malgré,44
burning,brûlant,50
doctor,docteur,34
conduct,conduite,46
until,jusqu'à,41
sport,sport,119
reason,raison,279
thought,pensée,0
farther,plus loin,42
lieutenant,lieutenant,32
maintain,maintenir,48
taste,goût,75
marry,marier,183
grieve,pleurer,39
wherein,où,0
oxford,Oxford,0
liberty,liberté,71
gentle,doux,345
state,Etat,305
dance,Danse,68
meeting,réunion,50
welcome,Bienvenue,273
goodness,la bonté,55
cares,se soucie,36
cloten,cailloter,0
broke,cassé,84
deeds,actes,118
remain,rester,59
night,nuit,808
courtesy,courtoisie,0
demand,demande,53
letter,lettre,245
offend,offenser,57
rotten,pourri,36
accuse,accuser,34
entertainment,divertissement,0
another,un autre,370
devil,diable,235
enemy,ennemi,167
dread,crainte,46
giving,donnant,34
prize,prix,47
worth,vaut,201
found,a trouvé,219
excuse,excuse,72
humour,humour,90
taken,pris,90
grace,la grâce,274
knight,Chevalier,122
patience,la patience,160
where,où,684
receive,recevoir,81
think,pense,986
triumph,triomphe,47
poison,poison,89
black,noir,157
cupid,Cupidon,0
mistress,maîtresse,262
speech,discours,128
watch,regarder,135
oliver,oliver,0
pluck,cueillir,116
thing,chose,358
fashion,mode,110
withal,avec,136
through,par,0
surely,sûrement,35
attend,assister,103
castle,Château,52
strength,force,120
tedious,fastidieux,44
apparel,vêtements,39
dwell,habiter,40
philip,Philippe,0
smell,odeur,50
exeunt,sortir,7
bedford,Bedford,0
mother,mère,399
didst,didst,145
either,Soit,115
dying,en train de mourir,45
blows,coups,68
yourself,toi même,0
sovereign,souverain,0
those,ceux,467
palace,palais,151
given,donné,183
glass,verre,68
might,pourrait,453
doubt,doute,162
weight,poids,44
merit,mérite,51
worse,pire,151
longer,plus long,106
guilty,coupable,69
measure,mesure,87
ulysses,Ulysse,0
surrey,Surrey,0
senate,sénat,0
trumpet,trompette,79
blind,aveugle,82
memory,Mémoire,58
absence,absence,55
banish,bannir,116
house,maison,547
anything,n'importe quoi,100
drops,gouttes,51
defend,défendre,65
street,rue,79
hence,Par conséquent,312
early,de bonne heure,46
hours,heures,139
green,vert,88
learned,appris,0
complexion,complexion,40
cromwell,Cromwell,0
substance,substance,41
frown,froncer les sourcils,51
shore,rive,49
greet,saluer,41
valentine,Valentin,0
stars,étoiles,68
suddenly,tout à coup,0
supper,souper,61
discourse,discours,0
equal,égal,43
colour,Couleur,89
mouth,bouche,145
dishonour,déshonorer,48
short,court,103
window,la fenêtre,48
fancy,fantaisie,56
shadow,ombre,71
fought,combattu,65
happy,heureux,187
sickness,maladie,53
modest,modeste,35
offence,infraction,94
golden,d'or,86
season,saison,45
catch,capture,74
enter,entrer,369
truly,vraiment,124
treason,trahison,0
counsel,Conseil,131
flowers,fleurs,0
having,ayant,122
lives,vies,188
double,double,83
affections,affections,40
hollow,creux,48
wretch,misérable,59
clifford,Clifford,0
mowbray,mowbray,0
awhile,quelque temps,101
light,lumière,256
ladies,Dames,104
flesh,la chair,137
worship,culte,104
bastard,Connard,66
study,étude,60
liege,Liege,140
guard,garde,105
bright,brillant,70
labour,la main d'oeuvre,92
unknown,inconnue,0
julia,Julia,0
assure,assurer,46
glorious,glorieux,41
grown,grandi,59
henceforth,désormais,0
meant,signifiait,53
wealth,richesse,72
means,veux dire,261
mischief,sottises,0
chain,chaîne,66
desire,le désir,209
chair,chaise,40
heels,talons,73
miranda,Miranda,0
soothsayer,devin,3
disgrace,disgrâce,46
great,génial,830
barren,Dénudé,38
wrong,faux,272
eternal,éternel,37
sword,épée,351
swore,juré,50
fellow,compagnon,306
fetch,chercher,103
behold,voir,119
parted,séparé,44
garden,jardin,46
heads,têtes,110
choice,choix,70
hanging,pendaison,35
certain,certain,167
stuff,des trucs,63
small,petit,85
commanded,commandé,0
gallant,galant,55
quick,rapide,101
widow,veuve,70
before,avant,628
husband,mari,321
simple,Facile,72
stomach,estomac,43
merry,joyeux,165
looks,regards,202
shows,montre,95
orlando,orlando,0
consider,considérer,45
majesty,majesté,69
flatter,flatter,51
keeps,garde,69
reignier,règne,0
rogue,coquin,79
hostess,hôtesse,29
whither,où,38
gross,brut,55
borne,supporté,80
hangs,bloque,34
particular,particulier,54
water,eau,148
twice,deux fois,62
bones,des os,76
affection,affection,71
effect,effet,70
solemn,solennel,38
daughter,fille,426
perceive,apercevoir,91
unworthy,indigne,31
entertain,divertir,0
leontes,leontes,0
request,demande,67
countess,comtesse,0
faith,Foi,317
their,leur,1935
captain,capitaine,60
forbid,interdire,70
shepherd,berger,68
point,point,145
general,général,187
poins,poins,0
alone,seul,232
damned,damné,43
along,le long de,108
patient,patient,88
clown,pitre,16
profit,profit,38
deserve,mériter,59
revenge,vengeance,130
clear,clair,64
encounter,rencontre,0
enough,assez,291
claudio,Claudio,0
kingdom,Royaume,101
shine,éclat,43
capitol,Capitole,0
third,troisième,73
neither,ni,0
further,plus loin,184
visit,visite,50
denied,refusé,52
account,Compte,45
dearest,très cher,56
sometime,parfois,59
claud,claud,0
innocent,innocent,50
fiery,ardent,47
bring,apporter,375
percy,Percy,0
awake,éveillé,62
plague,peste,88
offer,offre,104
suffer,souffrir,102
traitor,traitre,131
finds,trouve,38
honest,honnête,275
knowledge,connaissance,76
afterwards,ensuite,0
going,Aller,102
personal,personnel,0
court,tribunal,255
whose,dont,383
former,ancien,63
entreat,supplier,106
yonder,là-bas,59
peace,paix,396
gaunt,décharné,6
brother,frère,600
strong,fort,190
abuse,abuser de,46
prove,prouver,233
hubert,Hubert,0
bodies,corps,44
vantage,avantage,40
comes,vient,590
search,chercher,43
servant,serviteur,148
sudden,soudain,78
civil,civil,50
spare,de rechange,48
charge,charge,197
business,Entreprise,231
reverence,révérence,44
forbear,ancêtre,44
staff,Personnel,41
familiar,familier,35
partly,partiellement,33
pistol,pistolet,4
possible,possible,57
right,droite,325
lorenzo,Lorenzo,0
march,Mars,82
battle,bataille,117
edmund,Edmund,0
tells,raconte,40
answer,répondre,403
taught,enseigné,48
thrive,prospérer,56
desert,désert,44
under,sous,208
freely,librement,52
purse,bourse,87
dispatch,envoi,76
beauty,beauté,224
promise,promettre,105
thunder,tonnerre,56
armour,armure,41
fears,peurs,74
habit,habitude,39
margaret,margaret,0
france,France,0
train,train,130
needs,Besoins,142
which,lequel,1418
brows,sourcils,45
image,image,45
count,compter,50
emilia,Émilie,0
feast,le banquet,97
never,jamais,907
knife,couteau,55
month,mois,44
fenton,Fenton,0
piece,pièce,89
blame,faire des reproches,82
parts,les pièces,107
carry,porter,81
party,fête,51
frame,Cadre,45
little,peu,476
murther,aller plus loin,45
occasion,occasion,73
limbs,membres,47
tears,larmes,274
rather,plutôt,290
title,Titre,91
whore,putain,46
content,contenu,141
burden,fardeau,45
pound,livre,54
perhaps,peut-être,32
skill,compétence,51
trouble,difficulté,72
company,entreprise,203
maria,maria,0
thomas,Thomas,0
contrary,contraire,47
outward,vers l'extérieur,50
prince,prince,119
attended,assisté,0
midnight,minuit,41
living,vivant,120
bound,lié,171
custom,Douane,43
FALSE,faux,283
priest,prêtre,61
permission,autorisation,4
tyrant,tyran,58
dinner,dîner,92
stroke,accident vasculaire cérébral,40
breed,race,47
although,bien que,37
fiend,démon,65
realm,domaine,53
avoid,éviter,34
fresh,Frais,86
grant,subvention,99
ransom,une rançon,59
practice,entraine toi,41
therein,la bride,0
divine,Divin,48
flourish,fleurir,42
maiden,jeune fille,49
action,action,113
fools,imbéciles,100
dearly,chèrement,41
french,français,0
kindness,la gentillesse,51
crown,couronne,297
sentence,phrase,39
issue,problème,110
large,grand,69
bounty,prime,41
satisfied,satisfait,48
sense,sens,124
being,étant,548
protest,manifestation,52
foolish,insensé,95
drink,boisson,149
heavy,lourd,167
field,champ,188
curse,malédiction,98
begin,commencer,102
become,devenir,131
rascal,coquin,60
lawful,légitime,60
brought,apporté,186
works,travaux,23
alive,vivant,86
thief,voleur,68
painted,peint,52
deliver,livrer,119
tailor,tailleur,35
neighbour,voisine,51
summer,été,89
pandarus,Pandarus,0
library,bibliothèque,3
world,monde,678
known,connu,185
nurse,infirmière,73
peril,péril,43
everything,tout,0
stand,supporter,466
leisure,loisir,63
delight,délice,55
table,table,60
together,ensemble,241
knows,sait,205
highness,altesse,1
oberon,Oberon,0
within,dans,340
could,pourrait,557
forward,vers l'avant,87
change,changement,148
strike,la grève,116
health,santé,91
blest,heureux,50
bless,bénir,97
comfort,confort,174
disposition,disposition,44
ariel,Ariel,0
slender,mince,10
machine,machine,2
report,rapport,142
warlike,guerrier,57
complete,Achevée,19
return,revenir,224
constant,constant,48
conscience,conscience,119
subject,matière,104
knees,les genoux,51
several,nombreuses,79
angel,ange,55
office,Bureau,127
serve,servir,184
while,tandis que,177
anger,colère,58
drown,noyer,82
second,seconde,100
smile,sourire,69
download,Télécharger,0
falls,des chutes,67
claim,prétendre,64
durst,durst,45
credit,crédit,51
kneel,s'agenouiller,62
porter,porter,98
waste,déchets,43
brook,ruisseau,43
citizen,citoyenne,5
lordship,seigneurie,0
sooner,plus tôt,60
bearing,palier,63
includes,comprend,2
heart,cœur,1051
painter,peintre,10
forget,oublier,90
hateful,odieux,39
dream,rêver,126
proclaim,proclamer,0
noble,noble,588
malice,malice,70
present,présent,239
since,depuis,286
behind,derrière,114
appears,apparaît,0
stain,tache,62
breath,souffle,229
niece,nièce,61
fight,bats toi,272
heard,entendu,339
syracuse,Syracuse,0
brief,bref,84
marcius,Marcius,0
execution,exécution,48
pretty,jolie,109
chance,chance,103
nature,la nature,332
cross,traverser,98
constable,gendarme,18
sought,recherché,35
cousin,cousin,236
master,Maître,503
witness,témoin,108
wrought,forgé,0
earth,Terre,313
lands,terres,53
quarrel,querelle,95
duncan,Duncan,0
breast,Sein,98
coming,venir,145
mercy,pitié,171
cunning,ruse,73
elbow,coude,19
about,sur,358
buried,enterré,54
commit,commettre,30
stood,se tenait,82
pains,des douleurs,91
sorrow,chagrin,185
behalf,nom,45
danger,danger,0
wolsey,Wolsey,0
scene,scène,34
meaning,sens,55
ignorant,ignorant,48
above,au dessus,124
friend,ami,435
drawn,tiré,84
pleasure,plaisir,179
beaten,battu,48
myself,moi même,512
athens,Athènes,0
ancient,ancien,72
benefit,avantage,39
flood,inonder,47
something,quelque chose,152
glory,gloire,86
morning,Matin,130
quality,qualité,55
horse,cheval,241
lords,seigneurs,329
except,sauf,22
tarry,goudronneux,35
device,dispositif,43
jewel,bijou,58
believe,croyez,185
remember,rappelles toi,152
unless,sauf si,64
nought,néant,54
storm,orage,52
though,bien que,400
weary,se lasser,73
makes,fait du,311
souls,âmes,110
launce,lancer,0
enemies,ennemis,111
store,boutique,40
people,gens,213
valour,valeur,99
flower,fleur,47
monster,monstre,76
single,Célibataire,58
appear,apparaître,133
afraid,peur,41
paulina,paulina,0
holds,tient,73
fourth,Quatrième,11
story,récit,67
country,pays,0
commercial,commercial,0
bishop,évêque,3
willing,prêt,36
maids,servantes,42
project,projet,12
reputation,réputation,45
seven,Sept,64
express,Express,43
tread,bande de roulement,41
written,écrit,34
passion,la passion,106
beard,barbe,96
belike,être comme,22
degree,diplôme,46
please,S'il vous plaît,334
bears,ours,102
talbot,talbot,0
forces,les forces,0
valiant,vaillant,149
farewell,adieu,161
doing,Faire,67
knock,frappe,64
rough,rugueux,66
father,père,1034
proper,correct,62
throne,trône,67
slain,tué,125
beast,la bête,72
bitter,amer,73
speed,la vitesse,112
common,commun,152
themselves,se,158
wonder,merveille,116
virtue,vertu,179
every,chaque,456
mortal,mortel,96
prologue,prologue,19
chaste,chaste,37
lovely,charmant,53
figure,figure,41
madness,la démence,67
again,encore,757
teach,enseigner,91
commend,saluer,58
indeed,En effet,358
stone,calcul,65
money,argent,179
dramatis,dramatis,0
polixenes,polixènes,0
revolt,révolte,41
whole,entier,120
beyond,au-delà,43
hazard,danger,39
terms,termes,74
safety,sécurité,74
dreadful,horrible,0
sight,vue,200
wrath,colère,55
teeth,les dents,55
asleep,endormi,59
proof,preuve,80
presence,présence,103
between,entre,195
still,encore,499
natural,Naturel,57
oaths,serments,68
beggar,mendiant,73
doors,des portes,61
itself,lui-même,236
toward,vers,94
knowing,connaissance,32
emperor,empereur,17
pride,fierté,106
acquainted,connaissance,38
force,Obliger,103
steel,acier,69
cominius,cominius,0
tongue,langue,411
church,église,55
protector,protecteur,2
enjoy,prendre plaisir,49
slander,calomnie,50
secret,secret,65
ourselves,nous-mêmes,108
slave,esclave,128
confess,avouer,134
ghost,fantôme,30
seeing,voyant,42
counterfeit,contrefaire,0
course,cours,157
place,endroit,450
power,Puissance,302
finger,doigt,64
rivers,rivières,11
repent,se repentir,52
precious,précieux,76
suspect,suspect,35
brain,cerveau,95
haste,hâte,154
opinion,opinion,81
cease,cesser,42
soldier,soldat,149
wings,ailes,54
cannot,ne peux pas,718
scarce,rare,67
first,première,468
voice,voix,157
argument,argument,67
villain,scélérat,229
passage,passage,35
perfect,parfait,55
utter,prononcer,41
sirrah,sirrah,77
sound,du son,172
chamber,chambre,119
spite,dépit,59
plain,plaine,117
should,devrait,1428
justice,Justice,142
depart,partir,62
readable,lisible,2
dagger,dague,44
discover,découvrir,39
proud,fier,194
bottom,bas,36
hector,Hector,0
enobarbus,énobarbus,0
coward,lâche,84
lovers,les amoureux,55
marcus,Marcus,0
council,conseil,23
person,la personne,150
thrust,poussée,47
ground,sol,165
herself,se,91
repair,réparation,38
death,décès,845
purpose,objectif,203
steal,voler,78
advice,Conseil,43
according,selon,24
winter,hiver,67
clouds,des nuages,57
elder,aîné,43
membership,adhésion,0
jealous,jaloux,49
tempest,tempête,42
paris,Paris,0
paper,papier,106
public,Publique,55
bassianus,bassianus,0
marriage,mariage,117
ready,prêt,125
spend,dépenser,67
feeble,faible,21
affairs,affaires,66
fortune,fortune,263
motion,mouvement,80
grave,la tombe,182
advantage,avantage,70
match,rencontre,98
fault,faute,170
exeter,Exeter,0
fearful,craintif,90
follow,suivre,281
intent,intention,50
clothes,vêtements,40
command,commander,158
round,rond,72
challenge,défi,47
intend,avoir l'intention,51
